,node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient,z_MCC,z_DMNC,z_MNC,z_Degree,z_EPC,z_BottleNeck,z_EcCentricity,z_Closeness,z_Radiality,z_Betweenness,z_Stress,z_ClusteringCoefficient,Score_promedio
CD4,269.0,0.42151,13.0,16.0,9.181,29.0,0.25,22.91667,6.53125,424.08571,862.0,0.275,,0.8950632786286443,2.6708015966556973,3.074233317263472,1.831479149599243,5.312823156781606,1.4634058945219464,2.3131611420698417,1.5236521491956032,3.8862929044202508,3.6816241653541537,0.03665782741113714,,2.4262904165365087
CXCR4,250.0,0.45814,11.0,13.0,8.575,8.0,0.25,21.08333,6.34375,274.50238,546.0,0.34615,,1.0531349289380132,2.102179321238678,2.293851013650437,1.5992624149842176,1.0662413255824679,1.4634058945219464,1.8275362057129008,1.2677716355902346,2.295185173781984,2.0871405372989535,0.2645632075678377,,1.574570150806152
ICAM1,151.0,0.54881,7.0,8.0,7.649,4.0,0.25,18.33333,6.15625,182.51905,378.0,0.53571,,1.4444086535776661,0.9649347704046389,0.9932138409620448,1.2444229822226442,0.25736859583025085,1.4634058945219464,1.0991014500311458,1.011891121984866,1.3167647344666478,1.2394403806113785,0.8717556722551767,,1.0824280088062188
CD80,172.0,0.4296,9.0,9.0,8.17,3.0,0.25,19.25,6.28125,94.85238,284.0,0.5,,0.9299745440122859,1.5335570458216585,1.2533412754997233,1.4440680626424929,0.055150413392196646,1.4634058945219464,1.3419139182096165,1.1824781310551118,0.38426031464718063,0.7651319596076163,0.7573705545405487,,1.010059283086398
CCR7,96.0,0.41901,10.0,10.0,8.23,3.0,0.25,19.08333,6.15625,44.81667,154.0,0.46667,,0.8842748777066289,1.8178681835301682,1.5134687100374016,1.4670598185449708,0.055150413392196646,1.4634058945219464,1.297765474307988,1.011891121984866,-0.14796613725073107,0.1091735050279452,0.6506089758951118,,0.9202455306998629
NFKB1,147.0,0.51223,7.0,8.0,7.219,2.0,0.25,18.25,6.125,102.93333,242.0,0.5,,1.2865527712867373,0.9649347704046389,0.9932138409620448,1.0796487315882202,-0.14706776904585758,1.4634058945219464,1.0770285525071601,0.9692443697173048,0.4702168314321814,0.5532069204357225,0.7573705545405487,,0.8607050425773314
IL1A,170.0,0.49567,8.0,8.0,7.912,2.0,0.25,18.08333,6.09375,14.66667,58.0,0.60714,,1.2150904035793078,1.2492459081131488,0.9932138409620448,1.3452035122618384,-0.14706776904585758,1.4634058945219464,1.032880108605532,0.9265976174497433,-0.468669641302578,-0.3752265845078119,1.100557939361194,,0.757748293636228
CCL20,78.0,0.51223,7.0,7.0,7.433,1.0,0.2,17.28333,5.96875,11.71905,46.0,0.66667,,1.2865527712867373,0.9649347704046389,0.7330864064243664,1.161652660973724,-0.3492859514839118,0.004183105329019587,0.8209718160435666,0.7560106083794976,-0.5000232752201006,-0.43577659569978155,1.2912425111212553,,0.5212317115962738
CD38,31.0,0.51861,5.0,6.0,6.814,2.0,0.2,16.78333,5.9375,65.16667,146.0,0.53333,,1.3140847704397205,0.3963124949876196,0.47295897188668806,0.9244543792464951,-0.14706776904585758,0.004183105329019587,0.6885291331923384,0.7133638561119362,0.06849543181908929,0.06880683089996545,0.8641321331859854,,0.4880230307320909
CCL22,48.0,0.58344,5.0,5.0,6.609,1.0,0.2,16.11667,5.875,0.28571,2.0,0.9,,1.5938495831494224,0.3963124949876196,0.21283153734900964,0.8458992132463626,-0.3492859514839118,0.004183105329019587,0.5119406552931388,0.6280703515768133,-0.6216389369453458,-0.6577933034036703,2.038637624992836,,0.41845512491739034
IL2RA,14.0,0.38896,5.0,5.0,6.273,1.0,0.25,15.75,5.8125,6.66667,22.0,0.6,,0.7545982986240043,0.3963124949876196,0.21283153734900964,0.717145380192487,-0.3492859514839118,1.4634058945219464,0.4148151382510194,0.5427768470416905,-0.5537650984307629,-0.5568766180837208,1.0776873221536205,,0.3745132041020911
FCGR2A,4.0,0.30779,2.0,4.0,4.52,2.0,0.2,15.61667,5.84375,160.75,422.0,0.16667,,0.40432049748801,-0.45662091813790945,-0.04729589718866876,0.045402911908427886,-0.14706776904585758,0.004183105329019587,0.3794979724419107,0.5854235993092519,1.0852088268421085,1.461457088315267,-0.3103413269441036,,0.27310619002885966
IL7R,14.0,0.38896,5.0,5.0,6.292,1.0,0.2,15.61667,5.75,3.28571,12.0,0.6,,0.7545982986240043,0.3963124949876196,0.21283153734900964,0.7244261028949384,-0.3492859514839118,0.004183105329019587,0.3794979724419107,0.45748334250656764,-0.5897281405222765,-0.6073349607436955,1.0776873221536205,,0.22369737486698246
CXCL16,6.0,0.46346,3.0,3.0,4.699,1.0,0.2,13.93333,5.5,0.0,0.0,1.0,,1.0760926461000617,-0.1723097804293998,-0.30742333172634717,0.11399498368415337,-0.3492859514839118,0.004183105329019587,-0.06639415905966192,0.11630932436607627,-0.6246780148273575,-0.6678849719356652,2.3589543926059076,,0.13468711296571592
TNFRSF18,4.0,0.30898,3.0,3.0,4.879,1.0,0.2,14.28333,5.625,0.5,2.0,0.66667,,0.40945577632688923,-0.1723097804293998,-0.30742333172634717,0.1829702513915866,-0.3492859514839118,0.004183105329019587,0.026315718936197684,0.286896333436322,-0.619359548756846,-0.6577933034036703,1.2912425111212553,,0.008626525521917762
HIF1A,3.0,0.30779,2.0,3.0,3.715,2.0,0.2,13.93333,5.5,62.0,152.0,0.33333,,0.40432049748801,-0.45662091813790945,-0.30742333172634717,-0.2630698131164822,-0.14706776904585758,0.004183105329019587,-0.06639415905966192,0.11630932436607627,0.03481177791607566,0.09908183649595026,0.22349859795984192,,-0.03257916832102587
TLR8,3.0,0.0,1.0,3.0,3.253,5.0,0.2,15.11667,5.8125,119.25,248.0,0.0,,-0.9239042704268319,-0.7409320558464192,-0.30742333172634717,-0.440106333565561,0.4595867782683051,0.004183105329019587,0.24705528959068254,0.5427768470416905,0.643776142989649,0.5834819260317073,-0.8442132835248104,,-0.07051992598535595
FPR1,4.0,0.0,1.0,4.0,2.782,3.0,0.16667,12.85,5.125,126.0,346.0,0.0,,-0.9239042704268319,-0.7409320558464192,-0.04729589718866876,-0.6205916174000116,0.055150413392196646,-0.9685348059469855,-0.353352422286104,-0.3954517028446608,0.7155754349415552,1.0779736840994594,-0.8442132835248104,,-0.2768705930028437
VTN,2.0,0.0,1.0,2.0,2.684,3.0,0.2,12.56667,5.3125,120.0,236.0,0.0,,-0.9239042704268319,-0.7409320558464192,-0.5675507662640256,-0.6581448187073919,0.055150413392196646,0.004183105329019587,-0.42840239295058075,-0.13957118923929226,0.6517538420954164,0.5229319148397378,-0.8442132835248104,,-0.2789726819366347
GNA15,2.0,0.0,1.0,2.0,2.9,2.0,0.2,13.26667,5.4375,62.0,90.0,0.0,,-0.9239042704268319,-0.7409320558464192,-0.5675507662640256,-0.575374497458472,-0.14706776904585758,0.004183105329019587,-0.24298263695886152,0.03101581983095343,0.03481177791607566,-0.21375988799589288,-0.8442132835248104,,-0.38052495131319297
HLA-DOA,1.0,0.0,1.0,1.0,2.73,1.0,0.2,13.28333,5.5625,0.0,0.0,0.0,,-0.9239042704268319,-0.7409320558464192,-0.827678200801704,-0.6405178058488257,-0.3492859514839118,0.004183105329019587,-0.2385696467662586,0.20160282890119913,-0.6246780148273575,-0.6678849719356652,-0.8442132835248104,,-0.5138071152028696
SOCS3,1.0,0.0,1.0,1.0,2.727,1.0,0.2,13.28333,5.5625,0.0,0.0,0.0,,-0.9239042704268319,-0.7409320558464192,-0.827678200801704,-0.6416673936439496,-0.3492859514839118,0.004183105329019587,-0.2385696467662586,0.20160282890119913,-0.6246780148273575,-0.6678849719356652,-0.8442132835248104,,-0.5139116231842444
ACKR3,1.0,0.0,1.0,1.0,2.644,1.0,0.2,12.6,5.375,0.0,0.0,0.0,,-0.9239042704268319,-0.7409320558464192,-0.827678200801704,-0.6734726559757104,-0.3492859514839118,0.004183105329019587,-0.419573763711718,-0.05427768470416941,-0.6246780148273575,-0.6678849719356652,-0.8442132835248104,,-0.5565197952644799
NOTCH3,1.0,0.0,1.0,1.0,2.446,1.0,0.2,11.6,5.15625,0.0,0.0,0.0,,-0.9239042704268319,-0.7409320558464192,-0.827678200801704,-0.7493454504538871,-0.3492859514839118,0.004183105329019587,-0.6844591294141743,-0.3528049505770994,-0.6246780148273575,-0.6678849719356652,-0.8442132835248104,,-0.6146366521784401
ITGB5,2.0,0.0,1.0,2.0,1.596,2.0,0.16667,9.86667,4.40625,62.0,120.0,0.0,,-0.9239042704268319,-0.7409320558464192,-0.5675507662640256,-1.0750619924056557,-0.14706776904585758,-0.9685348059469855,-1.143592880347213,-1.3763270049985734,0.03481177791607566,-0.06238486001596877,-0.8442132835248104,,-0.710432537355115
NAMPT,1.0,0.0,1.0,1.0,2.354,1.0,0.16667,11.01667,4.96875,0.0,0.0,0.0,,-0.9239042704268319,-0.7409320558464192,-0.827678200801704,-0.7845994761710197,-0.3492859514839118,-0.9685348059469855,-0.8389747097893882,-0.6086854641824679,-0.6246780148273575,-0.6678849719356652,-0.8442132835248104,,-0.7435792004487781
FCAR,1.0,0.0,1.0,1.0,1.916,1.0,0.16667,10.6,4.875,0.0,0.0,0.0,,-0.9239042704268319,-0.7409320558464192,-0.827678200801704,-0.9524392942591076,-0.3492859514839118,-0.9685348059469855,-0.9493444951166307,-0.7366257209851522,-0.6246780148273575,-0.6678849719356652,-0.8442132835248104,,-0.7805019150140523
CLEC4A,1.0,0.0,1.0,1.0,1.64,1.0,0.16667,10.43333,4.84375,0.0,0.0,0.0,,-0.9239042704268319,-0.7409320558464192,-0.827678200801704,-1.0582013714105054,-0.3492859514839118,-0.9685348059469855,-0.993492939018259,-0.7792724732527135,-0.6246780148273575,-0.6678849719356652,-0.8442132835248104,,-0.7980071216795603
TXNIP,1.0,0.0,1.0,1.0,1.64,1.0,0.16667,9.8,4.53125,0.0,0.0,0.0,,-0.9239042704268319,-0.7409320558464192,-0.827678200801704,-1.0582013714105054,-0.3492859514839118,-0.9685348059469855,-1.1612527876785954,-1.2057399959283277,-0.6246780148273575,-0.6678849719356652,-0.8442132835248104,,-0.8520277918010103
RGS2,1.0,0.0,1.0,1.0,1.46,1.0,0.16667,9.55,4.46875,0.0,0.0,0.0,,-0.9239042704268319,-0.7409320558464192,-0.827678200801704,-1.1271766391179388,-0.3492859514839118,-0.9685348059469855,-1.2274741291042095,-1.2910335004634506,-0.6246780148273575,-0.6678849719356652,-0.8442132835248104,,-0.872072347589026
C3AR1,1.0,0.0,1.0,1.0,1.585,1.0,0.14286,9.12619,4.15625,0.0,0.0,0.0,,-0.9239042704268319,-0.7409320558464192,-0.827678200801704,-1.0792771476544434,-0.3492859514839118,-1.6634166981606582,-1.3397351959425678,-1.7175010231390648,-0.6246780148273575,-0.6678849719356652,-0.8442132835248104,,-0.9798642557948578
FPR3,1.0,0.0,1.0,1.0,1.455,1.0,0.14286,9.12619,4.15625,0.0,0.0,0.0,,-0.9239042704268319,-0.7409320558464192,-0.827678200801704,-1.1290926187764785,-0.3492859514839118,-1.6634166981606582,-1.3397351959425678,-1.7175010231390648,-0.6246780148273575,-0.6678849719356652,-0.8442132835248104,,-0.98439293498777
LAMC1,1.0,0.0,1.0,1.0,1.268,1.0,0.14286,7.66905,3.4375,0.0,0.0,0.0,,-0.9239042704268319,-0.7409320558464192,-0.827678200801704,-1.2007502580058675,-0.3492859514839118,-1.6634166981606582,-1.7257102577222447,-2.6983763252929776,-0.6246780148273575,-0.6678849719356652,-0.8442132835248104,,-1.1151663898207682
